target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,608369,825035,694297.0,24,Corey Seager,Texas Rangers,Arizona Diamondbacks,Brandon Pfaadt,2,Chase Field,213.0,9.2,Excellent,9.2,8.5,4.4,8.5,10.0,4.8,9.0,103.64,5.4059277,240.0,9.6,9.4,9.0,8.7,Ballpark + Recent power,True,0.7445833333333333,0.7445833333333333
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682985,824224,685299.0,25,Riley Greene,Detroit Tigers,Colorado Rockies,Tanner Gordon,4,Comerica Park,100.0,9.2,Excellent,7.6,8.5,9.5,8.5,5.5,6.7,7.0,80.6,8.7613311,220.0,9.7,7.7,1.8,2.1,Recent power + Pitcher vulnerability,True,0.7431944444444444,0.7431944444444444
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,571448,825035,677958.0,26,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,6,Chase Field,213.0,9.2,Excellent,7.1,8.1,9.2,8.1,10.0,4.8,5.0,103.64,5.4059277,240.0,9.0,3.7,8.0,7.3,Ballpark + Pitcher vulnerability,True,0.7427777777777778,0.7427777777777778
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,683748,822927,663567.0,27,Victor Mesa Jr.,Tampa Bay Rays,Houston Astros,Peter Lambert,5,Tropicana Field,107.0,9.1,Excellent,8.2,9.4,6.6,9.4,5.8,5.8,6.0,86.53999999999999,2.485484,333.0,9.5,9.4,8.3,6.2,Recent power + Pitch-type matchup,True,0.7391666666666666,0.7391666666666666
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682829,823737,,28,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,TBD,2,American Family Field,88.0,9.1,Excellent,9.9,5.5,5.5,5.5,5.0,6.7,9.0,82.4,9.8797989,288.0,10.0,9.9,8.5,9.9,Recent power + Hitter skill,True,0.7379166666666667,0.7379166666666667
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,656941,824870,641816.0,29,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,Tyler Mahle,1,Truist Park,100.0,9.1,Excellent,9.8,9.4,4.1,9.4,5.5,6.5,10.0,78.98,3.4175405,157.0,9.7,7.9,5.0,8.2,Lineup context + Hitter skill,True,0.7366666666666667,0.7366666666666667
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665742,823496,543037.0,30,Juan Soto,New York Mets,New York Yankees,Gerrit Cole,2,Yankee Stadium,117.0,9.0,Excellent,9.1,3.4,8.2,3.4,6.3,6.7,9.0,80.24000000000001,10.1283473,162.0,5.8,8.1,7.9,9.5,Hitter skill + Lineup context,True,0.7293055555555555,0.7293055555555555
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,666182,823496,543037.0,31,Bo Bichette,New York Mets,New York Yankees,Gerrit Cole,3,Yankee Stadium,117.0,9.0,Excellent,7.4,7.8,8.2,7.8,6.3,6.7,8.0,80.24000000000001,10.1283473,162.0,5.8,8.0,7.7,6.8,Pitcher vulnerability + Lineup context,True,0.7279166666666665,0.7279166666666665
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,662139,822927,693855.0,32,Daulton Varsho,Houston Astros,Tampa Bay Rays,Ian Seymour,4,Tropicana Field,107.0,9.0,Excellent,7.7,6.8,9.9,6.8,5.8,5.8,7.0,86.53999999999999,2.485484,333.0,6.8,7.5,4.5,2.7,Pitcher vulnerability + Hitter skill,True,0.7268055555555554,0.7268055555555554
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,805811,823170,650633.0,33,Bryce Eldridge,San Francisco Giants,San Diego Padres,Michael King,3,Oracle Park,139.0,8.9,Excellent,8.4,6.4,7.3,6.4,7.3,6.2,8.0,67.64,18.9518155,287.0,6.8,4.3,7.8,9.1,Hitter skill + Lineup context,True,0.7144444444444443,0.7144444444444443
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,605137,823657,682982.0,34,Josh Bell,Minnesota Twins,Cleveland Guardians,Daniel Espino,4,Target Field,113.0,8.9,Excellent,8.7,8.5,5.4,8.5,6.1,6.8,7.0,73.94,12.9245168,307.0,7.2,6.4,7.9,7.8,Hitter skill + Pitch-type matchup,True,0.7031944444444445,0.7031944444444445
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,804668,824630,605280.0,35,Rafael Flores Jr.,Pittsburgh Pirates,Chicago Cubs,Clay Holmes,4,Wrigley Field,107.0,8.9,Excellent,9.6,8.9,3.8,8.9,5.8,6.0,7.0,86.18,9.1962908,241.0,6.8,9.0,8.4,8.4,Hitter skill + Pitch-type matchup,True,0.7030555555555554,0.7030555555555554
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,650490,822927,663567.0,36,Yandy Díaz,Tampa Bay Rays,Houston Astros,Peter Lambert,1,Tropicana Field,107.0,8.8,Excellent,8.5,5.7,6.6,5.7,5.8,5.8,10.0,86.53999999999999,2.485484,333.0,5.9,8.0,9.1,8.4,Lineup context + Hitter skill,True,0.7013888888888888,0.7013888888888888
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,641343,823737,663903.0,37,Jake Bauers,Milwaukee Brewers,Cincinnati Reds,Brady Singer,5,American Family Field,88.0,8.8,Excellent,9.3,9.0,6.3,9.0,5.0,6.7,6.0,82.4,9.8797989,288.0,8.3,4.2,1.9,3.4,Hitter skill + Pitch-type matchup,True,0.6963888888888888,0.6963888888888888
