model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
30,Miguel Vargas,Chicago White Sox,Minnesota Twins,Zebby Matthews,2,Rate Field,69,9.1,Excellent,9.6,6.6,7.3,6.6,4.1,5.5,9.0,,,,3.8,7.6,2.8,4.8,Hitter skill + Lineup context,False,16,0.6794444444444445,0.6794444444444445,30
31,Isaac Paredes,Houston Astros,Arizona Diamondbacks,Merrill Kelly,3,Daikin Park,111,9.1,Excellent,8.4,6.3,8.2,6.3,6.0,5.5,8.0,,,,7.4,2.8,5.1,5.2,Hitter skill + Pitcher vulnerability,False,10,0.6786111111111112,0.6786111111111112,31
32,Yainer Diaz,Houston Astros,Arizona Diamondbacks,Merrill Kelly,8,Daikin Park,111,9.0,Excellent,8.5,6.6,8.2,6.6,6.0,5.5,3.0,,,,3.8,4.3,7.9,5.0,Hitter skill + Pitcher vulnerability,False,23,0.6761111111111111,0.6761111111111111,32
33,Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,Cristopher Sánchez,1,Citizens Bank Park,115,9.0,Excellent,7.8,9.8,5.1,9.8,6.2,6.5,10.0,81.5,2.8583066,315.0,6.8,6.9,4.2,7.8,Lineup context + Pitch-type matchup,False,15,0.6758333333333334,0.6758333333333334,33
34,Jordan Walker,St. Louis Cardinals,Colorado Rockies,Ryan Feltner,4,Coors Field,207,9.0,Excellent,6.4,7.0,6.5,7.0,10.0,5.5,7.0,,,,7.0,9.7,9.5,8.8,Ballpark + Pitch-type matchup,False,51,0.6736111111111113,0.6736111111111113,34
35,Otto Lopez,Miami Marlins,Chicago Cubs,Shota Imanaga,2,loanDepot park,135,8.9,Excellent,5.8,5.5,9.0,5.5,7.1,6.5,9.0,83.12,3.2311292000000003,112.0,7.4,7.3,7.5,6.7,Pitcher vulnerability + Lineup context,False,26,0.6733333333333333,0.6733333333333333,35
36,Gabriel Moreno,Arizona Diamondbacks,Houston Astros,Cristian Javier,3,Daikin Park,111,8.9,Excellent,8.9,5.7,6.8,5.7,6.0,5.5,8.0,,,,3.8,7.6,6.9,8.5,Hitter skill + Lineup context,False,27,0.6730555555555556,0.6730555555555556,36
37,Brooks Lee,Minnesota Twins,Chicago White Sox,Erick Fedde,2,Rate Field,69,8.9,Excellent,9.7,8.1,5.4,8.1,4.1,5.5,9.0,,,,3.8,5.2,8.0,5.4,Hitter skill + Lineup context,False,35,0.6722222222222223,0.6722222222222223,37
38,Austin Wells,New York Yankees,San Diego Padres,Walker Buehler,9,Petco Park,105,8.8,Excellent,7.4,9.4,7.1,9.4,5.7,5.5,2.0,,,,10.0,3.4,5.1,3.9,Recent power + Pitch-type matchup,False,31,0.6705555555555556,0.6705555555555556,38
39,Nick Loftin,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,6,Kauffman Stadium,168,8.8,Excellent,7.3,5.5,9.9,5.5,8.6,5.5,5.0,96.98,8.2642343,177.0,7.8,3.1,1.4,5.6,Pitcher vulnerability + Ballpark,False,11,0.6688888888888889,0.6688888888888889,39
40,Luis Robert Jr.,Baltimore Orioles,Boston Red Sox,Ranger Suarez,3,Oriole Park at Camden Yards,110,8.8,Excellent,8.9,9.4,2.6,9.4,6.0,6.5,8.0,83.12,3.4175405,279.0,8.5,9.5,9.2,8.0,Pitch-type matchup + Hitter skill,False,39,0.6688888888888889,0.6688888888888889,40
41,Lazaro Montes,Seattle Mariners,Athletics,Kade Morris,8,T-Mobile Park,37,8.7,Excellent,2.4,10.0,9.3,10.0,2.7,5.5,3.0,,,,9.4,8.7,5.1,9.7,Pitch-type matchup + Recent power,False,139,0.6633333333333333,0.6633333333333333,41
42,Francisco Lindor,New York Mets,San Francisco Giants,Matt Wilkinson,1,Citi Field,101,8.7,Excellent,9.5,8.1,3.4,8.1,5.5,6.5,10.0,78.98,3.9146373,297.0,8.9,7.3,5.5,8.6,Lineup context + Hitter skill,False,20,0.6616666666666666,0.6616666666666666,42
43,Elias Díaz,Texas Rangers,Tampa Bay Rays,Nick Martinez,9,Globe Life Field,94,8.7,Excellent,8.7,2.6,8.8,2.6,5.2,5.5,2.0,96.62,7.456452,167.0,3.8,9.5,9.0,6.5,Pitcher vulnerability + Hitter skill,False,72,0.6605555555555557,0.6605555555555557,43
44,Royce Lewis,Minnesota Twins,Chicago White Sox,Erick Fedde,7,Rate Field,69,8.7,Excellent,8.6,9.1,5.4,9.1,4.1,5.5,4.0,,,,7.0,6.9,5.5,5.3,Pitch-type matchup + Hitter skill,False,52,0.66,0.66,44
45,Richie Palacios,Tampa Bay Rays,Texas Rangers,Trevor Williams,8,Globe Life Field,94,8.6,Excellent,9.2,5.4,7.6,5.4,5.2,5.5,3.0,96.62,7.456452,167.0,8.0,1.5,8.1,3.7,Hitter skill + Recent power,False,37,0.6533333333333333,0.6533333333333333,45
46,Joc Pederson,Texas Rangers,Tampa Bay Rays,Nick Martinez,1,Globe Life Field,94,8.6,Excellent,3.1,9.7,8.8,9.7,5.2,5.5,10.0,96.62,7.456452,167.0,9.1,4.1,5.0,8.0,Lineup context + Pitch-type matchup,False,94,0.6508333333333334,0.6508333333333334,46
