model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
74,Jake McCarthy,Colorado Rockies,Detroit Tigers,Framber Valdez,1,Comerica Park,100.0,7.6,Strong,9.4,6.3,3.2,6.3,5.5,6.6,10.0,73.94,6.2758471,96.0,6.5,7.6,7.3,4.5,Lineup context + Hitter skill,True,54,0.5938888888888889,0.5938888888888889,74
75,Kyle Tucker,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,6,loanDepot park,135.0,7.5,Strong,9.8,4.9,4.9,4.9,7.1,6.6,5.0,75.38,7.0214923,207.0,8.6,3.0,3.8,5.7,Hitter skill + Recent power,True,26,0.5936111111111111,0.5936111111111111,75
76,Nick Fortes,Tampa Bay Rays,Houston Astros,Miguel Ullola,8,Tropicana Field,107.0,7.5,Strong,4.8,6.6,9.5,6.6,5.8,6.5,3.0,81.5,2.8583066,141.0,3.6,4.2,7.0,1.8,Pitcher vulnerability + Pitch-type matchup,True,83,0.5936111111111111,0.5936111111111111,76
77,Konnor Griffin,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,1,Wrigley Field,107.0,7.5,Strong,4.4,5.8,8.5,5.8,5.8,6.7,10.0,74.3,9.5069763,124.0,3.6,5.0,8.5,5.4,Lineup context + Pitcher vulnerability,True,75,0.5897222222222221,0.5897222222222221,77
78,Rafael Flores,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,6,Wrigley Field,107.0,7.4,Above average,5.0,2.7,8.5,2.7,5.8,6.7,5.0,74.3,9.5069763,124.0,6.8,9.0,8.0,8.7,Pitcher vulnerability + Recent power,True,102,0.5877777777777777,0.5877777777777777,78
79,Kyle Stowers,Miami Marlins,Los Angeles Dodgers,TBD,1,loanDepot park,135.0,7.4,Above average,4.9,5.5,5.5,5.5,7.1,6.6,10.0,75.38,7.0214923,207.0,7.7,9.2,9.5,9.8,Lineup context + Recent power,True,95,0.5852777777777778,0.5852777777777778,79
80,Zack Gelof,Athletics,Seattle Mariners,George Kirby,3,Sutter Health Park,100.0,7.4,Above average,3.7,7.9,7.5,7.9,5.5,5.5,8.0,,,,7.2,7.4,4.9,6.0,Lineup context + Pitch-type matchup,True,129,0.5841666666666667,0.5841666666666667,80
81,Tommy White,Athletics,Seattle Mariners,George Kirby,5,Sutter Health Park,100.0,7.3,Above average,7.9,3.3,7.5,3.3,5.5,5.5,6.0,,,,3.6,8.9,4.2,4.8,Hitter skill + Pitcher vulnerability,True,91,0.5836111111111111,0.5836111111111111,81
82,Alika Williams,Athletics,Seattle Mariners,George Kirby,9,Sutter Health Park,100.0,7.3,Above average,6.6,6.2,7.5,6.2,5.5,5.5,2.0,,,,8.4,1.4,8.0,1.8,Recent power + Pitcher vulnerability,True,92,0.5822222222222222,0.5822222222222222,82
83,Joe Mack,Miami Marlins,Los Angeles Dodgers,TBD,9,loanDepot park,135.0,7.3,Above average,9.5,5.5,5.5,5.5,7.1,6.6,2.0,75.38,7.0214923,207.0,3.6,2.3,8.2,2.2,Hitter skill + Ballpark,True,41,0.5802777777777778,0.5802777777777778,83
