model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
24,Ben Rice,New York Yankees,Colorado Rockies,Ryan Feltner,1,Yankee Stadium,117,7.7,Strong,5.1,8.5,6.0,8.5,6.3,6.6,10.0,84.56,6.21371,311.0,6.9,7.8,4.7,5.4,Lineup context + Pitch-type matchup,True,0.5977777777777779,0.5977777777777779
25,Alec Bohm,Philadelphia Phillies,Houston Astros,Cristian Javier,5,Citizens Bank Park,115,7.6,Strong,4.8,5.2,8.7,5.2,6.2,6.1,6.0,87.61999999999999,10.3147586,265.0,8.8,8.1,7.8,3.6,Recent power + Pitcher vulnerability,False,0.5968055555555555,0.5968055555555555
26,Justin Crawford,Philadelphia Phillies,Houston Astros,Cristian Javier,8,Citizens Bank Park,115,7.5,Strong,8.3,1.4,8.7,1.4,6.2,6.1,3.0,87.61999999999999,10.3147586,265.0,3.8,1.5,8.2,5.5,Pitcher vulnerability + Hitter skill,False,0.594722222222222,0.594722222222222
27,Yandy Díaz,Tampa Bay Rays,Atlanta Braves,Martín Pérez,1,Truist Park,100,7.4,Above average,7.6,4.3,4.2,4.3,5.5,6.5,10.0,82.94,4.5981454,157.0,6.6,9.6,9.0,8.6,Lineup context + Hitter skill,False,0.5936111111111112,0.5936111111111112
28,Esmerlyn Valdez,Pittsburgh Pirates,Chicago White Sox,Hagen Smith,6,Rate Field,69,7.3,Above average,7.4,9.7,3.3,9.7,4.1,5.5,5.0,,,,7.8,5.6,3.0,9.4,Pitch-type matchup + Recent power,True,0.5775000000000001,0.5775000000000001
29,Bryce Harper,Philadelphia Phillies,Houston Astros,Cristian Javier,3,Citizens Bank Park,115,7.2,Above average,2.4,8.9,8.7,8.9,6.2,6.1,8.0,87.61999999999999,10.3147586,265.0,3.8,6.4,5.9,9.2,Pitch-type matchup + Pitcher vulnerability,False,0.5770833333333333,0.5770833333333333
30,Brandon Marsh,Philadelphia Phillies,Houston Astros,Cristian Javier,7,Citizens Bank Park,115,7.1,Above average,5.3,4.5,8.7,4.5,6.2,6.1,4.0,87.61999999999999,10.3147586,265.0,3.8,9.9,7.4,3.7,Pitcher vulnerability + Ballpark,False,0.5761111111111111,0.5761111111111111
31,Colson Montgomery,Chicago White Sox,Pittsburgh Pirates,Jared Jones,5,Rate Field,69,7.0,Above average,6.3,6.4,5.1,6.4,4.1,5.5,6.0,,,,9.5,6.8,8.6,7.9,Recent power + Pitch-type matchup,True,0.5705555555555556,0.5705555555555556
32,Andrew Benintendi,Chicago White Sox,Pittsburgh Pirates,Jared Jones,2,Rate Field,69,6.9,Above average,6.2,5.4,5.1,5.4,4.1,5.5,9.0,,,,3.8,9.0,9.4,9.5,Lineup context + Hitter skill,True,0.5626388888888888,0.5626388888888888
33,Christian Walker,Houston Astros,Philadelphia Phillies,Zack Wheeler,6,Citizens Bank Park,115,6.8,Above average,5.2,6.6,6.9,6.6,6.2,6.1,5.0,87.61999999999999,10.3147586,265.0,8.4,3.4,5.7,6.0,Recent power + Pitcher vulnerability,False,0.5579166666666666,0.5579166666666666
34,Jeremy Peña,Houston Astros,Philadelphia Phillies,Zack Wheeler,1,Citizens Bank Park,115,6.7,Above average,5.0,6.0,6.9,6.0,6.2,6.1,10.0,87.61999999999999,10.3147586,265.0,3.8,8.6,5.1,2.8,Lineup context + Pitcher vulnerability,False,0.5556944444444445,0.5556944444444445
35,Ryan Vilade,Tampa Bay Rays,Atlanta Braves,Martín Pérez,2,Truist Park,100,6.6,Above average,4.0,10.0,4.2,10.0,5.5,6.5,9.0,82.94,4.5981454,157.0,3.8,5.3,10.0,9.6,Pitch-type matchup + Lineup context,False,0.5418055555555555,0.5418055555555555
36,Jose Altuve,Houston Astros,Philadelphia Phillies,Zack Wheeler,4,Citizens Bank Park,115,6.5,Solid,4.3,7.6,6.9,7.6,6.2,6.1,7.0,87.61999999999999,10.3147586,265.0,7.4,2.4,6.6,3.2,Pitch-type matchup + Recent power,False,0.5394444444444444,0.5394444444444444
37,Connor Norby,Colorado Rockies,New York Yankees,Max Fried,8,Yankee Stadium,117,6.4,Solid,8.8,7.1,1.5,7.1,6.3,6.6,3.0,84.56,6.21371,311.0,3.8,9.7,8.7,3.8,Hitter skill + Pitch-type matchup,True,0.5388888888888889,0.5388888888888889
38,Michael Harris II,Atlanta Braves,Tampa Bay Rays,Nick Martinez,4,Truist Park,100,6.3,Solid,4.2,2.0,9.6,2.0,5.5,6.5,7.0,82.94,4.5981454,157.0,3.8,5.9,9.7,4.6,Pitcher vulnerability + Lineup context,False,0.5344444444444444,0.5344444444444444
39,Lane Thomas,Atlanta Braves,Tampa Bay Rays,Nick Martinez,6,Truist Park,100,6.2,Solid,2.1,7.9,9.6,7.9,5.5,6.5,5.0,82.94,4.5981454,157.0,3.8,4.3,4.2,5.6,Pitcher vulnerability + Pitch-type matchup,False,0.52625,0.52625
40,George Lombard,New York Yankees,Colorado Rockies,Ryan Feltner,6,Yankee Stadium,117,6.1,Solid,7.9,2.5,6.0,2.5,6.3,6.6,5.0,84.56,6.21371,311.0,3.8,3.9,3.9,2.6,Hitter skill + Weather,True,0.5191666666666667,0.5191666666666667
41,Kyle Karros,Colorado Rockies,New York Yankees,Max Fried,6,Yankee Stadium,117,6.0,Solid,9.3,4.9,1.5,4.9,6.3,6.6,5.0,84.56,6.21371,311.0,9.0,7.4,4.1,2.1,Hitter skill + Recent power,True,0.5158333333333333,0.5158333333333333
42,Konnor Griffin,Pittsburgh Pirates,Chicago White Sox,Hagen Smith,1,Rate Field,69,5.9,Solid,6.4,6.2,3.3,6.2,4.1,5.5,10.0,,,,3.8,5.1,8.3,5.1,Lineup context + Hitter skill,True,0.4990277777777778,0.4990277777777778
43,Aaron Judge,New York Yankees,Colorado Rockies,Ryan Feltner,3,Yankee Stadium,117,5.8,Solid,7.0,1.4,6.0,1.4,6.3,6.6,8.0,84.56,6.21371,311.0,3.8,1.5,3.5,7.0,Lineup context + Hitter skill,True,0.49416666666666664,0.49416666666666664
